"Company Name",FY,Quarter,"By Department","Total Revenue","Total Expense","Income Statement","Profit or Loss"
"Austin Energy",2026,2,"Power Generation, Market Operations & Resource Planning",$30946942.00,$13739688.00,$17207254.00,Profit
"Austin Energy",2026,2,"Electric Service Delivery",$220419.00,$202341.00,$18078.00,Profit
"Austin Energy",2026,2,"Support Services",$-34208.00,$42836.00,$-77044.00,Deficit
"Austin Energy",2026,2,"Customer Care",$0.00,$10940.00,$-10940.00,Deficit
"Austin Energy",2026,2,"Customer Energy Solutions",$0.00,$283.00,$-283.00,Deficit
