"Company Name",FY,Quarter,"By Department","Total Revenue","Total Expense","Income Statement","Profit or Loss"
"Austin Energy",2026,2,"Power Generation, Market Operations & Resource Planning",$4688104.00,$1652907.00,$3035197.00,Profit
"Austin Energy",2026,2,"Electric Service Delivery",$31200.00,$46467.00,$-15267.00,Deficit
"Austin Energy",2026,2,"Customer Care",$0.00,$10940.00,$-10940.00,Deficit
"Austin Energy",2026,2,"Support Services",$0.00,$37013.00,$-37013.00,Deficit
